Week,24ORE Business School: (Italy),Life Learning: (Italy),Lacerba: (Italy),Studiosamo: (Italy),Corsi.it: (Italy)
2019-01-06,0,20,15,0,0
2019-01-13,0,34,29,0,5
2019-01-20,0,28,19,0,0
2019-01-27,0,14,19,0,0
2019-02-03,0,24,14,0,9
2019-02-10,0,9,14,0,0
2019-02-17,0,19,24,0,5
2019-02-24,0,14,14,5,5
2019-03-03,0,25,25,0,0
2019-03-10,0,15,29,0,5
2019-03-17,0,20,10,5,0
2019-03-24,0,5,10,0,0
2019-03-31,0,10,10,0,10
2019-04-07,0,15,5,5,0
2019-04-14,0,10,36,0,0
2019-04-21,0,27,5,0,0
2019-04-28,0,5,10,0,0
2019-05-05,0,24,10,0,5
2019-05-12,0,9,9,0,0
2019-05-19,0,14,9,0,0
2019-05-26,0,18,9,0,0
2019-06-02,0,10,15,0,5
2019-06-09,0,35,5,0,5
2019-06-16,0,0,10,0,10
2019-06-23,0,10,15,0,0
2019-06-30,0,10,25,0,5
2019-07-07,0,19,19,0,5
2019-07-14,0,10,20,0,5
2019-07-21,0,30,10,0,0
2019-07-28,5,15,21,0,0
2019-08-04,0,11,5,0,0
2019-08-11,0,6,6,0,0
2019-08-18,0,21,0,5,0
2019-08-25,0,19,10,0,0
2019-09-01,0,23,18,5,0
2019-09-08,5,14,24,0,10
2019-09-15,5,27,9,0,5
2019-09-22,0,9,9,0,5
2019-09-29,5,18,14,0,0
2019-10-06,5,14,19,0,9
2019-10-13,0,33,23,0,0
2019-10-20,9,22,31,0,0
2019-10-27,0,18,14,0,5
2019-11-03,4,40,22,4,9
2019-11-10,0,36,18,0,0
2019-11-17,0,31,22,0,9
2019-11-24,0,31,9,0,0
2019-12-01,9,28,9,0,5
2019-12-08,0,9,9,0,0
2019-12-15,0,24,5,0,5
2019-12-22,5,22,5,0,0
2019-12-29,5,20,0,0,0
2020-01-05,5,27,18,0,5
2020-01-12,8,30,0,4,4
2020-01-19,4,52,13,0,0
2020-01-26,4,17,26,0,0
2020-02-02,4,21,17,0,4
2020-02-09,0,9,22,0,4
2020-02-16,0,9,17,4,4
2020-02-23,0,20,4,0,12
2020-03-01,4,20,16,0,0
2020-03-08,0,35,8,0,0
2020-03-15,4,59,4,0,12
2020-03-22,7,100,22,0,0
2020-03-29,0,97,0,0,15
2020-04-05,0,72,8,4,4
2020-04-12,0,76,16,0,20
2020-04-19,7,82,19,0,11
2020-04-26,0,58,15,0,8
2020-05-03,0,28,8,0,4
2020-05-10,8,38,8,0,4
2020-05-17,4,48,12,0,16
2020-05-24,4,48,12,4,0
2020-05-31,4,45,0,4,12
2020-06-07,8,36,8,0,8
2020-06-14,0,17,13,0,9
2020-06-21,4,27,18,0,4
2020-06-28,0,26,17,0,4
2020-07-05,0,27,27,0,0
2020-07-12,5,27,14,4,5
2020-07-19,0,37,5,0,5
2020-07-26,0,37,0,0,9
2020-08-02,5,23,14,0,5
2020-08-09,0,39,0,0,0
2020-08-16,5,10,10,0,0
2020-08-23,0,41,5,0,0
2020-08-30,0,17,17,0,0
2020-09-06,0,52,26,0,0
2020-09-13,9,77,9,0,0
2020-09-20,4,83,12,0,0
2020-09-27,13,30,17,0,4
2020-10-04,4,9,9,0,4
2020-10-11,0,27,14,0,0
2020-10-18,0,27,4,0,0
2020-10-25,4,57,13,0,13
2020-11-01,0,29,0,0,8
2020-11-08,4,21,13,0,4
2020-11-15,4,38,4,0,0
2020-11-22,4,50,8,4,8
2020-11-29,0,50,4,0,4
2020-12-06,0,48,9,0,0
2020-12-13,4,35,13,0,0
2020-12-20,5,49,0,0,0
2020-12-27,5,52,5,5,14
2021-01-03,4,22,9,4,9
2021-01-10,4,31,0,0,4
2021-01-17,9,21,4,0,4
2021-01-24,0,33,0,0,0
