Week,udemy: (Italy),coursera: (Italy),Life Learning: (Italy)
2019-01-06,42,8,6
2019-01-13,18,7,10
2019-01-20,19,10,9
2019-01-27,32,11,4
2019-02-03,15,19,7
2019-02-10,29,13,3
2019-02-17,21,5,6
2019-02-24,37,7,4
2019-03-03,39,16,8
2019-03-10,24,9,5
2019-03-17,18,5,6
2019-03-24,30,9,2
2019-03-31,25,12,3
2019-04-07,23,12,5
2019-04-14,22,5,3
2019-04-21,26,11,8
2019-04-28,35,3,2
2019-05-05,21,10,7
2019-05-12,25,12,3
2019-05-19,31,9,4
2019-05-26,21,7,6
2019-06-02,28,14,3
2019-06-09,28,25,11
2019-06-16,17,11,0
2019-06-23,25,5,3
2019-06-30,21,8,3
2019-07-07,23,8,6
2019-07-14,23,15,3
2019-07-21,28,11,9
2019-07-28,16,10,5
2019-08-04,31,15,3
2019-08-11,23,7,2
2019-08-18,13,10,6
2019-08-25,39,9,6
2019-09-01,37,11,7
2019-09-08,28,7,4
2019-09-15,21,10,9
2019-09-22,34,13,3
2019-09-29,24,19,6
2019-10-06,39,12,4
2019-10-13,30,12,10
2019-10-20,30,10,7
2019-10-27,31,13,6
2019-11-03,28,14,12
2019-11-10,33,12,11
2019-11-17,31,18,10
2019-11-24,58,7,10
2019-12-01,40,11,9
2019-12-08,38,13,3
2019-12-15,25,15,7
2019-12-22,43,10,7
2019-12-29,28,11,6
2020-01-05,31,13,8
2020-01-12,35,14,9
2020-01-19,39,12,16
2020-01-26,36,8,5
2020-02-02,34,10,7
2020-02-09,42,15,3
2020-02-16,33,11,3
2020-02-23,27,5,6
2020-03-01,35,6,6
2020-03-08,47,19,11
2020-03-15,71,44,18
2020-03-22,91,60,31
2020-03-29,100,53,30
2020-04-05,86,45,22
2020-04-12,91,51,23
2020-04-19,81,46,25
2020-04-26,56,40,18
2020-05-03,74,23,9
2020-05-10,74,54,12
2020-05-17,60,38,15
2020-05-24,34,35,15
2020-05-31,42,16,14
2020-06-07,40,17,11
2020-06-14,48,31,5
2020-06-21,37,12,8
2020-06-28,54,24,8
2020-07-05,57,19,8
2020-07-12,43,24,8
2020-07-19,40,23,11
2020-07-26,31,20,11
2020-08-02,47,28,7
2020-08-09,17,15,12
2020-08-16,43,18,3
2020-08-23,46,25,13
2020-08-30,44,29,5
2020-09-06,54,21,16
2020-09-13,37,23,24
2020-09-20,40,21,26
2020-09-27,42,21,9
2020-10-04,36,10,3
2020-10-11,45,22,8
2020-10-18,31,13,8
2020-10-25,57,19,18
2020-11-01,36,35,9
2020-11-08,55,28,7
2020-11-15,47,22,12
2020-11-22,73,25,16
2020-11-29,63,24,15
2020-12-06,50,17,15
2020-12-13,46,16,11
2020-12-20,44,14,15
2020-12-27,48,26,16
2021-01-03,47,23,7
2021-01-10,45,11,9
2021-01-17,53,16,7
2021-01-24,71,41,10
