web-scraper-order,web-scraper-start-url,titoli,link,link-href,descr,autor,date,skill
"1611343534-3293","https://www.udemy.com/courses/it-and-software/?lang=it&p=7&sort=newest","CNCpediA -Programmazione CNC ISO Fanuc per centri di lavoro","","","","","null",""
"1611342643-2917","https://www.udemy.com/courses/it-and-software/?lang=it&p=13&sort=newest","","Impara il framework Metasploit da \x00La struttura di questo corso è basata sul PTES. Imparerai a usare Metasploit, i suoi limiti e come trascenderliAdriano GattabuiaValutazione: 4,6 su 54,6(108)3,5 ore totali38 lezioniTutti i livelliPrezzo attuale99,99 €","https://www.udemy.com/course/impara-il-framework-metasploit-da-x00/","","Adriano Gattabuia","Ultimo aggiornamento 3/2018",""
"1611343120-3110","https://www.udemy.com/courses/it-and-software/?lang=it&p=10&sort=newest","","CORSO JAVASCRIPT ES6 E TYPESCRIPT CON REACT JS ED ANGULAR 8Il corso base di javascript e Typescript ti da le basi per poter studiare al meglio framework come Angular o ReactLucio TicaliValutazione: 3,1 su 53,1(42)7,5 ore totali70 lezioniIntermedioPrezzo attuale19,99 €","https://www.udemy.com/course/corso-base-di-javascript-es6-e-typescript-2x3x/","DescrizioneIl corso base di Javascript Es6 e TypeSript è fondamentale se vuoi intraprendere un percorso formativo relativo a framework quali Angular o React.TypeScript ha nel suo nome la sua missione: fornire “un JavaScript con il supporto opzionale della tipizzazione stretta” e la cui compilazione genera codice JavaScript standard.Javascript è un linguaggio di programmazione che riscuote sempre maggior successo in questi ultimi periodi, come testimoniano moltissimi sondaggi come quelle che ogni anno fornisce il celebre sito StackOverflow.La versione attuale di Javascript maggiormente diffusa ed utilizzata al momento è EcmaScript 6 approvata in via definitiva nel 2015.Questa mini guida ti da le basi per poter studiare al meglio Angular, React o Vue.js. Se non conosci ESx o TypeScript ti sarà difficile comprendere tali framework.

Partiremo dalle basi fino ai concetti più avanzati usando un linguaggio semplice che sia comprensibile a tutti. Nelle ultime sezioni realizzeremo una web app semplice ma completa sia in ANGULAR 8  che in REACT.JS.

Se non capissi alcuni concetti ti chiedo la cortesia di contattarmi evitando di dare un giudizio negativo impulsivamente, parliamone e risolviamo assieme.
 Se vuoi puoi iscriverti al gruppo chiuso di facebook ""Angular dalla a alla web app"" , dove oltre a parlare di Angular si parla anche di Javascript e TypeScript.Che dire, vi auguro buono studio, spero che sia solo l'inizio di un percorso formativo e professionale lungo e prosperoso. A chi è rivolto questo corso:Sviluppatori Font end che intendono approfondire o assimilare i concetti di Angular o ReactSviluppatori Angular o React cui mancano le basi di ES6 o TypeScriptMostra di piùMostra meno","","Ultimo aggiornamento 12/2020",""
"1611343693-3338","https://www.udemy.com/courses/it-and-software/?lang=it&p=7&sort=newest","","Imparare  Spring boot, Hibernate e GitImpariamo il funzionamento di Spring  Hibernate e GitFabio MuranoValutazione: 4,6 su 54,6(17)8 ore totali77 lezioniTutti i livelliPrezzo attuale19,99 €","https://www.udemy.com/course/imparare-springboothibernate-git/","","Fabio Murano","Ultimo aggiornamento 5/2020",""
"1611343447-3253","https://www.udemy.com/courses/it-and-software/?lang=it&p=8&sort=newest","","Impara a Programmare un Termostato HVAC in KNXCompleta le tue conoscenze sullo Standard KNX entrando nel modo della Termoregolazione gestita dal KNXDavide GrandeppienoValutazione: 4,8 su 54,8(2)3,5 ore totali13 lezioniTutti i livelliPrezzo attuale169,99 €","https://www.udemy.com/course/impara-a-programmare-un-termostato-hvac-in-knx/","","","Ultimo aggiornamento 3/2020","Cosa impareraiLe basi della TermoregolazioneParametrizzare un Termostato KNXL'analisi del Termine HVACIl Data-Point KNX sulla termoregolazione HVACRiscaldare e Raffrescare un ambiente grazie ad un Termostato KNXImportare il valore di Umidità rilevata dal Termostato KNXImportare il valore di Temperatura di Rugiada rilevata dal Termostato KNXUtilizzare le soglie di UmiditàUtilizzare le soglie di Temperatura di RugiadaGestire e bloccare gli allarmi delle soglie di UmiditàGestire e bloccare gli allarmi per le soglie di Temperatura di rugiadaModi di visualizzazione del Termostato KNX su un supervisoreMostra di piùMostra meno"
"1611343364-3214","https://www.udemy.com/courses/it-and-software/?lang=it&p=9&sort=newest","","La Privacy negli Enti Locali R.UE 679/2016L' applicazione del GDPR nell'ambito degli Enti Pubblici LocaliDavide BariselliValutazione: 4,0 su 54,0(12)1,5 ore totali7 lezioniPrincipiantePrezzo attuale29,99 €","https://www.udemy.com/course/il-regolamento-europeo-sul-trattamento-dei-dati-rue-679-2016/","","Davide Bariselli","Ultimo aggiornamento 12/2019",""
"1611343211-3166","https://www.udemy.com/courses/it-and-software/?lang=it&p=9&sort=newest","Corso pratico di C","","","","","null",""
"1611344641-3720","https://www.udemy.com/courses/it-and-software/?lang=it&p=1&sort=newest","","SQL Server: 35 esercizi e correzioni sul Transact SQL.Venite ad imparare divertendovi a fare query in Transact SQL, attraverso tutti questi esercizi su SQL Server 2019 .Olivier Thuillier Amministrazione, TSQL e prestazioni del server SQL.1,5 ore totali56 lezioniPrincipiantePrezzo attuale39,99 €Nuovo","https://www.udemy.com/course/sql-server-35-esercizi-e-correzioni-sul-transact-sql/","","Olivier Thuillier Amministrazione, TSQL e prestazioni del server SQL.","Pubblicato 1/2021",""
"1611343364-3213","https://www.udemy.com/courses/it-and-software/?lang=it&p=9&sort=newest","","La Privacy negli Enti Locali R.UE 679/2016L' applicazione del GDPR nell'ambito degli Enti Pubblici LocaliDavide BariselliValutazione: 4,0 su 54,0(12)1,5 ore totali7 lezioniPrincipiantePrezzo attuale29,99 €","https://www.udemy.com/course/il-regolamento-europeo-sul-trattamento-dei-dati-rue-679-2016/","DescrizioneIl corso ha l'obiettivo di descrivere le principali novità introdotte dal RUE 679/2016 regolamento europeo in materia di protezione dei dati.Il corso di sviluppa in 5 moduli:Modulo 1: sessione introduttiva che spiega i principi alla base della nuova normativaModulo 2: Verranno poi date alcune definizioniModulo 3: vengono identificati i principali soggetti coinvolti dalla normativaModulo 4: descrizione dei processi operativiModulo 5: sanzioni previste dalla normativa A chi è rivolto questo corso:Dipendenti di enti pubblici, e della pubblica amministrazione localeMostra di piùMostra meno","","Ultimo aggiornamento 12/2019",""
"1611343834-3403","https://www.udemy.com/courses/it-and-software/?lang=it&p=6&sort=newest","","Workshop completo di base su tecnologia MikroTik RouterOSWorkshop completo di base su tecnologia MikroTik RouterOSAlejandro Fala'Valutazione: 4,0 su 54,0(50)5,5 ore totali12 lezioniTutti i livelliPrezzo attuale34,99 €","https://www.udemy.com/course/mikrotik-mtcna/","","","Ultimo aggiornamento 6/2020","Cosa impareraiLogin e uso di RouterOS e MikroTik, creazione di una rete semplice, indirizzamento Ip, Nat, DHCP Server e client, firewall, PPP, simple queues, wireless networks"
